date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
2017-01,30.9474,60.6569,63.8111,0.181637,2.23826,33.6665,0.874012,0.0189257,0.0
2017-02,31.0598,60.0851,64.285,0.185743,2.21634,31.063,0.869113,0.0184593,0.0
2017-03,30.7658,57.9627,61.3883,0.185377,2.13333,32.8531,0.836982,0.0173385,0.0
2017-04,29.8935,55.9606,59.8107,0.178432,2.0707,32.6301,0.81567,0.0155749,0.0
2017-05,30.4401,56.9838,62.044,0.181226,2.14669,33.4707,0.847437,0.0153802,0.0
2017-06,30.3548,56.6876,63.4107,0.181531,2.15481,33.3065,0.832417,0.0147397,0.0
2017-07,30.6193,59.3862,67.8072,0.183719,2.28058,34.89,0.858331,0.0150079,0.0
2017-08,30.8809,60.0633,70.4603,0.182184,2.32308,35.3127,0.868594,0.0147563,0.0
2017-09,30.2638,58.5454,69.6222,0.173291,2.2767,34.4182,0.848607,0.0140027,0.0
2017-10,29.5357,58.0169,68.4483,0.170075,2.1815,34.1236,0.844005,0.0071901,0.0
2017-11,29.4417,58.1179,67.6434,0.173639,2.16373,34.187,0.845167,0.0071945,0.0
2017-12,29.0755,58.5814,69.5185,0.176847,2.1565,34.4901,0.840479,0.00723595,0.0
2018-01,29.1013,57.6002,68.8668,0.173184,2.04955,33.8228,0.834786,0.00709358,0.0
2018-02,28.3829,56.184,69.9322,0.17416,2.0181,32.9912,0.820804,0.00687203,0.0
2018-03,28.7697,56.3742,68.9062,0.175963,2.10351,33.1126,0.827208,0.00689878,0.0
2018-04,29.329,57.2649,70.5618,0.179829,2.17613,33.6358,0.835685,0.00703586,0.0
2018-05,31.0542,61.9997,75.2056,0.189546,2.36369,36.2614,0.899354,0.0076845,0.0
2018-06,30.8398,62.0188,72.5806,0.188281,2.37483,36.4495,0.906045,0.00776964,0.0
2018-07,31.5359,62.7565,72.9921,0.183843,2.38527,36.883,0.920858,0.00797247,0.0
2018-08,31.4374,62.3497,73.0738,0.179576,2.31999,36.644,0.914889,0.00800189,0.0
2018-09,32.6745,68.0447,79.4966,0.187126,2.40866,40.1089,0.985441,0.00869333,0.0
2018-10,31.093,65.5906,76.2294,0.180626,2.32056,38.6623,0.948664,0.00811865,0.0
2018-11,30.9562,65.5962,74.4189,0.177753,2.3348,38.6656,0.941122,0.00796375,0.0
2018-12,31.2217,66.5335,75.7484,0.178169,2.35508,39.2181,0.95252,0.00801695,0.0
2019-01,32.0732,69.4706,79.4605,0.18057,2.50706,40.9494,0.994568,0.00833278,0.0
2019-02,30.406,65.3577,75.2006,0.171867,2.35499,38.525,0.936357,0.00779704,0.0
2019-03,30.8212,65.8895,74.9691,0.175738,2.45673,38.8385,0.945466,0.00784852,0.0
2019-04,30.4305,64.7347,72.723,0.170498,2.38008,38.1578,0.927431,0.00771802,0.0
2019-05,30.6906,64.6314,72.3096,0.169558,2.44839,38.0969,0.92562,0.00765281,0.0
2019-06,31.1884,65.3834,72.8436,0.170928,2.4333,38.5402,0.934155,0.00770721,0.0
2019-07,30.8831,63.0756,71.8179,0.165759,2.41161,37.1798,0.906649,0.00736878,0.0
2019-08,31.1648,63.4172,70.7355,0.164966,2.53276,37.3812,0.908816,0.00734135,0.0
2019-09,31.6768,66.4897,73.3847,0.171686,2.64585,39.1923,0.954626,0.00707337,0.0
2019-10,31.1266,64.6407,70.7169,0.166503,2.67497,38.1024,0.924469,0.00685116,0.0
2019-11,31.099,63.7748,71.1918,0.164083,2.56843,37.3651,0.911655,0.00674152,0.0
2019-12,30.4022,64.0817,70.5475,0.165875,2.67341,37.7729,0.915453,0.00673835,0.0
2020-01,29.3545,61.9057,69.3777,0.161665,2.61205,36.4902,0.886979,0.00651121,0.0
2020-02,29.5495,63.1385,69.5976,0.166537,2.52296,37.2169,0.903564,0.00660215,0.0
2020-03,29.9347,66.9909,73.7235,0.175541,2.7257,39.4877,0.958695,0.00705019,0.0
2020-04,30.1979,77.7325,85.7389,0.174278,2.75213,45.933,0.972264,0.0081543,0.0
2020-05,30.1832,72.7263,79.1189,0.171298,2.69798,42.8684,0.909415,0.0071871,0.0
2020-06,29.3516,70.752,78.5489,0.171643,2.62872,41.7047,0.95947,0.0069782,0.0
2020-07,29.2106,70.4413,78.9929,0.174099,2.64194,41.4604,0.926665,0.00692408,0.0
2020-08,30.089,73.4261,87.2889,0.174086,2.65196,43.2172,0.956287,0.00719321,0.0
2020-09,27.7866,73.8039,87.8266,0.175623,2.67537,43.4396,0.940231,0.00719135,0.0
2020-10,30.0739,78.7847,92.4302,0.181995,2.78337,46.3712,0.989419,0.00767284,0.0
2020-11,30.0946,79.3323,92.6284,0.183154,2.78971,46.6935,0.971067,0.00765682,0.0
2020-12,29.4583,76.1999,91.2037,0.179066,2.67321,44.8499,0.898313,0.00735449,0.0
2021-01,28.5234,73.8757,90.7932,0.175252,2.60711,43.4819,0.893546,0.00705128,0.0
2021-02,29.0431,76.2527,92.2963,0.179782,2.7094,44.8809,0.89892,0.00728993,0.0
2021-03,28.5879,74.4373,90.3743,0.178255,2.66296,43.8124,0.878764,0.00706335,0.0
2021-04,28.8483,75.6373,88.7452,0.177801,2.71942,44.5187,0.891882,0.00722076,0.0
2021-05,29.2398,74.8451,90.585,0.174178,2.69783,44.0524,0.882325,0.00712193,0.0
2021-06,28.9732,73.2965,89.3778,0.170912,2.66893,42.8484,0.876199,0.00692741,0.0
2021-07,28.749,72.7234,86.5118,0.169778,2.67074,42.8036,0.858689,0.00685727,0.0
2021-08,29.2006,73.1388,86.9913,0.171891,2.72718,43.0481,0.862352,0.00688365,0.0
2021-09,29.2726,73.2781,86.666,0.171752,2.72558,43.1301,0.864871,0.00687852,0.0
2021-10,29.0065,72.6642,84.305,0.170653,2.72887,42.7688,0.856132,0.00679619,0.0
2021-11,29.1501,70.52,82.2898,0.16494,2.68152,41.5068,0.831363,0.00660114,0.0
2021-12,29.4331,74.8926,84.8234,0.170443,2.74319,44.0804,0.882884,0.00694284,0.0
2022-01,29.1458,74.2926,84.0695,0.169,2.72584,43.7273,0.875906,0.00685504,0.0
2022-02,29.8444,77.4702,86.5032,0.178379,2.71136,45.5975,0.913279,0.00716311,0.0
2022-03,33.9264,93.5589,104.4772,0.188393,3.10053,55.067,1.10069,0.00863067,0.0
2022-04,28.3398,83.4097,92.493,0.177349,2.82427,49.1455,0.873632,0.00749024,0.0
2022-05,26.7671,71.0237,74.5589,0.158362,2.34698,41.7786,0.865073,0.00635286,0.0
2022-06,23.9111,61.6069,62.7397,0.144147,2.0778,36.2394,0.75582,0.00559509,0.0
