Год,Динамика уровня средней зарплаты по годам,Динамика количества вакансий по годам,"Динамика уровня средней зарплаты по годам
для профессии Java-разработчика","Динамика количества вакансий по годам
для профессии Java-разработчика"
2003,0,0,0,0
2004,0,0,0,0
2005,0,0,0,0
2006,0,0,0,0
2007,0,0,0,0
2008,0,0,0,0
2009,0,0,0,0
2010,0,0,0,0
2011,0,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2014,0,0,0,0
2015,0,0,0,0
2016,0,0,0,0
2017,61738,45,160000,1
2018,67817,89,103599,2
2019,75066,114,120907,4
2020,76528,181,157352,5
2021,103986,274,234387,5
2022,88712,230,151082,4
2023,93270,67,0,0
